Rank;Tier;Username;Join Date;Gold Medals;Silver Medals;Bronze Medals;Points
353;expert;Rob Harrand;2015;0;2;3;33
354;expert;Micha? Choi?ski;2018;0;1;2;33
355;expert;Darek K?eczek;2018;0;0;4;33
356;expert;Adeel Zafar;2018;0;0;3;33
357;expert;csafrit;2018;0;0;3;33
358;expert;Theo Viel;2018;0;1;2;33
359;expert;Sonali singh;2019;0;0;3;33
360;expert;Ravirajsinh Dabhi;2020;0;1;2;33
361;expert;salah sammari;2020;0;0;6;33
362;expert;Yaswanth Gali;2021;0;0;3;33
363;expert;Aishik Rakshit;2021;0;0;5;33
364;expert;Kheirallah Samaha;2017;0;2;2;32
365;expert;Ken Miller;2017;0;1;2;32
366;expert;V.Prasanna Kumar;2018;0;1;6;32
367;expert;Minyong Shin;2018;0;1;8;32
368;expert;Ashish Gupta;2018;0;2;5;32
369;expert;Neelima Jauhari;2019;0;3;1;32
370;expert;Daria Chemkaeva;2019;0;0;8;32
371;expert;ma7555;2019;0;1;3;32
372;expert;Dr. Amritpal Singh;2020;0;0;4;32
373;expert;SR;2020;0;0;3;32
374;expert;Nandini Bagga;2020;0;0;8;32
375;expert;Chien-Hsiang Hung;2021;0;1;3;32
376;expert;Vijay V Venkitesh;2021;0;1;3;32
377;expert;Alexander Bader;2021;0;0;3;32
378;expert;RDizzl3;2015;0;1;2;31
379;expert;anokas;2016;2;0;2;31
380;expert;Bhushan Kapkar;2019;0;1;5;31
381;expert;Yirun Zhang;2019;0;0;5;31
382;expert;Fares Sayah;2019;0;2;2;31
383;expert;Mammad Abbasli;2020;0;0;5;31
384;expert;Farhan Hai Khan;2020;0;0;4;31
385;expert;Umair Nasir14;2021;0;2;2;31
386;expert;Yash Goel;2021;0;0;4;31
387;expert;KANDHAL KHANDEKA;2021;0;0;3;31
388;expert;ryati;2014;0;1;2;30
389;expert;Laura Fink;2016;0;0;6;30
390;expert;Carlo Lepelaars;2018;0;1;5;30
391;expert;Praveen Kumar;2019;0;0;9;30
392;expert;Volkan Özdemir;2019;0;0;4;30
393;expert;yash chaudhary;2019;0;2;1;30
394;expert;Navin Mundhra;2019;1;0;2;30
395;expert;Naman Manchanda;2020;0;1;2;30
396;expert;Pratham Sharma;2020;0;0;4;30
397;expert;Rohan Paul;2021;0;0;4;30
398;expert;Vishwesh Salodkar;2021;0;0;5;30
399;expert;lastsunset;2021;0;0;5;30
400;expert;Pawan Kumar Yadav;2021;0;0;3;30
401;expert;Aryan Tiwari;2021;0;0;3;30
402;expert;Luca Massaron;2012;0;0;3;29
403;expert;Benjamin Minixhofer;2017;0;2;2;29
404;expert;Salim Khazem;2018;0;0;7;29
405;expert;Jung;2018;0;1;2;29
406;expert;Leo0523;2018;0;0;5;29
407;expert;Alexander Antonov;2019;0;0;6;29
408;expert;SIDDHARTH M;2019;1;0;2;29
409;expert;Hamza;2020;0;0;4;29
410;expert;Rajkumar Sengottuvel;2020;0;0;4;29
411;expert;JIL KOTHARI;2020;0;1;3;29
412;expert;Harshit Shankhdhar;2020;0;1;2;29
413;expert;Harsha Varshney;2020;0;0;6;29
414;expert;IAbhishekBhardwaj;2020;0;0;3;29
415;expert;Pavel Fedotov;2021;0;0;4;29
416;expert;antoreepjana;2021;0;0;4;29
417;expert;Ebrahim Haque Bhatti;2021;0;0;3;29
418;expert;Omri Goldstein;2015;1;1;3;28
419;expert;Shane Smith;2017;0;1;4;28
420;expert;Ramanathan;2017;1;0;2;28
421;expert;Narendra Prasath;2018;0;1;3;28
422;expert;Kaushal Shah;2018;0;1;2;28
423;expert;Jay tilala;2019;0;0;3;28
424;expert;Abhinand;2019;0;1;4;28
425;expert;Pierre-Louis DANIEAU;2020;0;0;3;28
426;expert;Nisarg Chodavadiya;2021;0;0;3;28
427;expert;Mayur Dalvi;2021;0;0;4;28
428;expert;See--;2017;1;0;2;27
429;expert;Vineeth;2017;0;0;4;27
430;expert;Nitisha;2018;0;1;3;27
431;expert;Dwarika Teli;2018;0;0;6;27
432;expert;Satyajit Pattnaik;2019;0;0;6;27
433;expert;Valentyn Sichkar;2019;0;1;2;27
434;expert;Sayantan Kirtaniya;2020;0;0;5;27
435;expert;Soumyadip Sarkar;2020;0;0;6;27
436;expert;Vishnu Varthan Rao;2020;1;0;2;27
437;expert;Sidharth Kumar Mohanty;2021;0;0;5;27
438;expert;Lázaro;2021;0;1;3;27
439;expert;Umesh Kumar Adari;2021;0;0;4;27
440;expert;Niek van der Zwaag;2021;0;0;3;27
441;expert;dr. Konya;2017;0;0;3;26
442;expert;Bjorn;2018;0;0;4;26
443;expert;Landry KEZEBOU;2018;0;0;4;26
444;expert;ozgurdogan;2019;0;0;3;26
445;expert;Anton Kostin;2019;0;0;4;26
446;expert;Mohammad Reza Ghari;2020;0;2;1;26
447;expert;Vipin Kumar;2020;0;0;3;26
448;expert;Manish Sharma;2020;0;0;5;26
449;expert;Paulo Breviglieri;2020;0;0;5;26
450;expert;Saurabh Patra;2020;0;0;4;26
451;expert;Osiris;2021;0;1;4;26
452;expert;Chanon Charuchinda;2021;0;0;3;26
453;expert;HAIDER MASOOD;2021;0;0;4;26
454;expert;Ahmed Dawoud;2021;0;0;4;26
455;expert;khaIid;2021;0;0;3;26
456;expert;CaptainClever;2021;0;0;5;26
457;expert;Liling Tan;2014;0;0;9;25
458;expert;Mark Peng;2014;0;0;5;25
459;expert;Vasiliy;2017;0;0;4;25
460;expert;Fellipe Gomes;2018;0;2;2;25
461;expert;Arman Malekzadeh Lashkaryani;2018;0;0;3;25
462;expert;Akshat Dubey;2019;0;2;1;25
463;expert;Sreshta Putchala;2019;0;0;3;25
464;expert;Erin Ward;2019;0;0;6;25
465;expert;Marco Carujo;2020;0;0;3;25
466;expert;Jin Bonnie;2020;0;0;5;25
467;expert;Daniboy370;2020;0;1;2;25
468;expert;SHREYAS P J;2020;0;0;3;25
